Filename,Path,Include,Rename
01_03_20250528_085446,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\01_03_20250528_085446.vsi,True,
01_06_20250528_102452,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\01_06_20250528_102452.vsi,True,
01_06_20250602_093701,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\01_06_20250602_093701.vsi,True,
02_04_20250528_123109,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\02_04_20250528_123109.vsi,True,
01_01_20250528_080129,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\01_01_20250528_080129.vsi,True,
02_02_20250528_112729,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\02_02_20250528_112729.vsi,True,
02_02_20250602_102524,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\02_02_20250602_102524.vsi,True,
01_04_20250602_084027,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\01_04_20250602_084027.vsi,True,
02_03_20250529_170701,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\02_03_20250529_170701.vsi,True,
01_04_20250528_091748,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\01_04_20250528_091748.vsi,True,
01_05_20250602_091319,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\01_05_20250602_091319.vsi,True,
01_01_20250602_073115,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\01_01_20250602_073115.vsi,True,
01_02_20250529_132443,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\01_02_20250529_132443.vsi,True,
02_03_20250528_115654,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\02_03_20250528_115654.vsi,True,
01_03_20250529_135044,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\01_03_20250529_135044.vsi,True,
02_01_20250602_100125,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\02_01_20250602_100125.vsi,True,
02_02_20250529_163518,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\02_02_20250529_163518.vsi,True,
02_04_20250602_112137,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\02_04_20250602_112137.vsi,True,
01_06_20250529_152911,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\01_06_20250529_152911.vsi,True,
01_01_20250529_125807,\\nasr.man.ac.uk\flsrss$\snapped\replicated\Bioimaging-Isilon\Rotem_Salmileshem\Exp 0 - Aw24 M4 subcut aPD1 SignalStar\images\01_01_20250529_125807.vsi,True,
